 M(1) = 0 S = 0 powers of k:  1
 M(92) = 8 S = 598 powers of k:  1 2 3 5 10 13 23 46 92
 M(93) = 9 S = 607 powers of k:  1 2 3 4 7 14 17 31 62 93
 M(94) = 9 S = 616 powers of k:  1 2 3 4 7 10 20 27 47 94
 M(95) = 9 S = 625 powers of k:  1 2 3 4 7 11 22 44 51 95
 M(96) = 7 S = 632 powers of k:  1 2 3 6 12 24 48 96
 M(97) = 8 S = 640 powers of k:  1 2 3 6 12 24 48 49 97
 M(98) = 8 S = 648 powers of k:  1 2 3 6 12 24 25 49 98
 M(99) = 8 S = 656 powers of k:  1 2 3 6 12 24 48 51 99
 M(100) = 8 S = 664 powers of k:  1 2 3 5 10 15 25 50 100
 M(101) = 9 S = 673 powers of k:  1 2 3 5 6 12 24 48 53 101
 M(102) = 8 S = 681 powers of k:  1 2 3 6 12 24 27 51 102
 M(103) = 9 S = 690 powers of k:  1 2 3 5 7 12 24 48 55 103
 M(104) = 8 S = 698 powers of k:  1 2 3 5 8 13 26 52 104
 M(105) = 9 S = 707 powers of k:  1 2 3 4 7 14 21 35 70 105
 M(106) = 9 S = 716 powers of k:  1 2 3 5 6 12 24 29 53 106
 M(107) = 9 S = 725 powers of k:  1 2 3 5 8 13 26 52 55 107
 M(108) = 8 S = 733 powers of k:  1 2 3 6 9 18 27 54 108
 M(109) = 9 S = 742 powers of k:  1 2 3 5 8 13 26 52 57 109
 M(110) = 9 S = 751 powers of k:  1 2 3 4 7 11 22 33 55 110
 M(111) = 9 S = 760 powers of k:  1 2 3 5 8 16 21 37 74 111
 M(112) = 8 S = 768 powers of k:  1 2 3 4 7 14 28 56 112
 M(113) = 9 S = 777 powers of k:  1 2 3 4 7 14 28 56 57 113
 M(114) = 9 S = 786 powers of k:  1 2 3 4 7 14 28 29 57 114
 M(115) = 9 S = 795 powers of k:  1 2 3 4 7 14 28 56 59 115
 M(116) = 9 S = 804 powers of k:  1 2 3 4 7 11 18 29 58 116
 M(117) = 9 S = 813 powers of k:  1 2 3 5 7 14 28 56 61 117
 M(118) = 9 S = 822 powers of k:  1 2 3 4 7 14 28 31 59 118
 M(119) = 9 S = 831 powers of k:  1 2 3 4 7 14 28 56 63 119
 M(120) = 8 S = 839 powers of k:  1 2 3 5 10 15 30 60 120
 M(121) = 9 S = 848 powers of k:  1 2 3 5 10 15 30 60 61 121
 M(122) = 9 S = 857 powers of k:  1 2 3 5 7 14 28 33 61 122
 M(123) = 9 S = 866 powers of k:  1 2 3 5 10 15 30 60 63 123
 M(124) = 9 S = 875 powers of k:  1 2 3 4 7 14 17 31 62 124
 M(125) = 9 S = 884 powers of k:  1 2 3 5 10 15 25 50 75 125
 M(126) = 9 S = 893 powers of k:  1 2 3 4 7 14 21 42 63 126
 M(127) = 10 S = 903 powers of k:  1 2 3 4 7 8 15 30 60 67 127
 M(128) = 7 S = 910 powers of k:  1 2 4 8 16 32 64 128
 M(129) = 8 S = 918 powers of k:  1 2 4 8 16 32 64 65 129
 M(130) = 8 S = 926 powers of k:  1 2 4 8 16 32 33 65 130
 M(131) = 9 S = 935 powers of k:  1 2 3 4 8 16 32 64 67 131
 M(132) = 8 S = 943 powers of k:  1 2 4 8 16 17 33 66 132
 M(133) = 9 S = 952 powers of k:  1 2 3 5 8 16 32 64 69 133
 M(134) = 9 S = 961 powers of k:  1 2 3 4 8 16 32 35 67 134
 M(135) = 9 S = 970 powers of k:  1 2 3 5 10 15 30 45 90 135
 M(136) = 8 S = 978 powers of k:  1 2 4 8 9 17 34 68 136
 M(137) = 9 S = 987 powers of k:  1 2 4 8 9 17 34 68 69 137
 M(138) = 9 S = 996 powers of k:  1 2 3 5 8 16 32 37 69 138
 M(139) = 10 S = 1006 powers of k:  1 2 3 4 7 10 17 34 68 71 139
 M(140) = 9 S = 1015 powers of k:  1 2 3 4 7 14 21 35 70 140
 M(141) = 10 S = 1025 powers of k:  1 2 3 4 7 10 20 27 47 94 141
 M(142) = 10 S = 1035 powers of k:  1 2 3 4 7 8 16 32 39 71 142
 M(143) = 10 S = 1045 powers of k:  1 2 3 4 7 10 17 34 68 75 143
 M(144) = 8 S = 1053 powers of k:  1 2 3 6 9 18 36 72 144
 M(145) = 9 S = 1062 powers of k:  1 2 3 6 9 18 36 72 73 145
 M(146) = 9 S = 1071 powers of k:  1 2 3 6 9 18 36 37 73 146
 M(147) = 9 S = 1080 powers of k:  1 2 3 6 9 18 36 72 75 147
 M(148) = 9 S = 1089 powers of k:  1 2 3 5 8 16 21 37 74 148
 M(149) = 9 S = 1098 powers of k:  1 2 4 5 9 18 36 72 77 149
 M(150) = 9 S = 1107 powers of k:  1 2 3 5 10 15 25 50 75 150
 M(151) = 10 S = 1117 powers of k:  1 2 3 4 7 9 18 36 72 79 151
 M(152) = 9 S = 1126 powers of k:  1 2 3 4 8 11 19 38 76 152
 M(153) = 9 S = 1135 powers of k:  1 2 3 6 9 18 36 72 81 153
 M(154) = 9 S = 1144 powers of k:  1 2 4 5 9 18 36 41 77 154
 M(155) = 10 S = 1154 powers of k:  1 2 3 4 7 11 18 36 72 83 155
 M(156) = 9 S = 1163 powers of k:  1 2 3 5 8 13 26 39 78 156
 M(157) = 10 S = 1173 powers of k:  1 2 3 5 7 12 19 38 76 81 157
 M(158) = 10 S = 1183 powers of k:  1 2 3 4 7 9 18 36 43 79 158
 M(159) = 10 S = 1193 powers of k:  1 2 3 4 8 16 19 35 70 89 159
 M(160) = 8 S = 1201 powers of k:  1 2 3 5 10 20 40 80 160
 M(161) = 9 S = 1210 powers of k:  1 2 3 5 10 20 40 80 81 161
 M(162) = 9 S = 1219 powers of k:  1 2 3 5 10 20 40 41 81 162
 M(163) = 9 S = 1228 powers of k:  1 2 3 5 10 20 40 80 83 163
 M(164) = 9 S = 1237 powers of k:  1 2 3 5 10 20 21 41 82 164
 M(165) = 9 S = 1246 powers of k:  1 2 3 5 10 20 40 80 85 165
 M(166) = 9 S = 1255 powers of k:  1 2 3 5 10 20 40 43 83 166
 M(167) = 10 S = 1265 powers of k:  1 2 3 4 7 10 20 40 80 87 167
 M(168) = 9 S = 1274 powers of k:  1 2 3 4 7 14 21 42 84 168
 M(169) = 10 S = 1284 powers of k:  1 2 3 4 7 14 21 42 84 85 169
 M(170) = 9 S = 1293 powers of k:  1 2 3 5 10 20 40 45 85 170
 M(171) = 10 S = 1303 powers of k:  1 2 3 4 7 14 21 42 84 87 171
